operator_id,name,category,agent_tier,definition,input_shape,output_shape,assumptions_in,assumptions_out,side_effects,dependencies,statefulness,sync_mode,destruction_score,risk_type,risk_reason,requires_confirmation,sandbox_required,promotion_ready,contract_status,category_confidence,source_file,allowed_read_scope
repo_external_entrypoints,locate_external_entrypoints,static_graph_locator,worker,[worker] locate conventional external entrypoint candidates,map_dir:path|limit:int|scopes:list[str],truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py,declared TrueMachine repository map
repo_filesystem_writers,locate_filesystem_writers,static_graph_locator,worker,[worker] locate exact registered filesystem write call candidates,map_dir:path|limit:int|scopes:list[str],truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py,declared TrueMachine repository map
repo_process_execution,locate_process_execution,static_graph_locator,worker,[worker] locate exact registered process execution call candidates,map_dir:path|limit:int|scopes:list[str],truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py,declared TrueMachine repository map
repo_direct_truemem_references,locate_direct_truemem_references,static_graph_locator,worker,[worker] locate exact TrueMem call and import references,map_dir:path|limit:int|scopes:list[str],truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py,declared TrueMachine repository map
repo_truecore_bypass,locate_truecore_bypass_candidates,authority_gap_locator,worker,[worker] report missing authority required to establish TrueCore bypasses,map_dir:path|limit:int|scopes:list[str],truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py,declared TrueMachine repository map
repo_agent_registration,locate_agent_registration_surfaces,static_graph_locator,worker,[worker] locate exact registered agent and tool registration call candidates,map_dir:path|limit:int|scopes:list[str],truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py,declared TrueMachine repository map
repo_security_config_writers,locate_security_config_writers,authority_gap_locator,worker,[worker] report missing authority required to establish security configuration writers,map_dir:path|limit:int|scopes:list[str],truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py,declared TrueMachine repository map
repo_canonical_evidence_writers,locate_canonical_evidence_writers,authority_gap_locator,worker,[worker] report missing authority required to establish canonical evidence writers,map_dir:path|limit:int|scopes:list[str],truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py,declared TrueMachine repository map
repo_untested_privileged_sinks,locate_untested_privileged_sinks,authority_gap_locator,worker,[worker] report missing sink and test authority for untested privileged paths,map_dir:path|limit:int|scopes:list[str],truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py,declared TrueMachine repository map
repo_unresolved_privileged_reachability,locate_unresolved_privileged_reachability,authority_gap_locator,worker,[worker] report missing authority for unresolved privileged reachability,map_dir:path|limit:int|scopes:list[str],truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py,declared TrueMachine repository map
