Bucket,Family,Score,OriginalPath,CopiedPath,FileName,SizeBytes,LastWriteTime,CollectorTerms,MachineTerms,ReasonTerms,WriteTerms,SensitiveTerms,LikelyTestOrBackup
high_confidence_log_reasoners,arc_solver,42,H:\arc_production_solver\cod_616\modules\yolo_detector.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\d76b22e2aaa6__yolo_detector.py,yolo_detector.py,13211,2025-11-26T03:50:36,capture;perf,cpu;cv2.videocapture;input;keyboard;process;videocapture;webcam,detector;infer;inference;model;predict,,cv2.videocapture,False
high_confidence_log_reasoners,arc_solver,41,H:\arc_production_solver\cod_616\recognition\recognition_field.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\17fb300cffef__recognition_field.py,recognition_field.py,20069,2025-11-26T05:27:06,activity;capture;log;metric;metrics;telemetry,gamepad;input;network,analyze;classif;correlat;pattern;score,json.dump;open(,,False
high_confidence_log_reasoners,arc_solver,39,H:\arc_production_solver\arc_cli.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\ca78930da4c0__arc_cli.py,arc_cli.py,21417,2026-01-30T19:57:36,log;metric;perf;performance;trace,input;system,analyze;diagnostic;evaluate;pattern;predict;reason;reasoning,json.dump;open(,,False
high_confidence_log_reasoners,arc_solver,39,H:\arc_production_solver\cod_616\match_fingerprint_builder.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\5b291d0f8457__match_fingerprint_builder.py,match_fingerprint_builder.py,33175,2025-11-26T13:48:34,activity;event;watch,gamepad;input;movement;network;packet;process;system;trigger,correlat;pattern;score,,,False
high_confidence_log_reasoners,arc_solver,38,H:\arc_production_solver\cod_616\modules\network_telemetry.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\721e2fc27ba0__network_telemetry.py,network_telemetry.py,9273,2025-11-25T17:59:12,capture;history;metric;metrics;perf;telemetry,keyboard;network;packet;process;subprocess;system,pattern,,,False
high_confidence_log_reasoners,arc_solver,37,H:\arc_production_solver\cod_616\cod_live_runner.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\47e034e35c4a__cod_live_runner.py,cod_live_runner.py,18650,2025-11-26T05:27:06,capture;log;logging;monitor;telemetry,gamepad;input;keyboard;network,detector;model;score,json.dump;open(,,False
high_confidence_log_reasoners,arc_solver,36,H:\arc_production_solver\arc_organ\arc_operators.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\e3bdb48f917d__arc_operators.py,arc_operators.py,111807,2025-11-30T14:34:56,capture;log;metric;perf,input;movement,analyze;classif;detector;infer;inference;insight;pattern;reason;reasoning,,,False
high_confidence_log_reasoners,arc_solver,36,H:\arc_production_solver\cod_616\arc_organ\arc_operators.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\fdd6a5bca593__arc_operators.py,arc_operators.py,102089,2025-11-28T09:52:20,capture;log;metric;perf,input;movement,analyze;classif;detector;infer;inference;insight;pattern;reason;reasoning,,,False
high_confidence_log_reasoners,arc_solver,32,H:\arc_production_solver\cod_616\modules\gamepad_capture.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\42eb76fff642__gamepad_capture.py,gamepad_capture.py,10240,2025-11-25T17:59:12,capture;event;history;perf,gamepad;input;keyboard;movement;process;trigger,pattern,,,False
high_confidence_log_reasoners,arc_solver,31,H:\arc_production_solver\arc_organ\arc_task_runner.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\626066dc7120__arc_task_runner.py,arc_task_runner.py,9987,2025-11-26T21:33:28,log,input;thermal,analyze;classif;evaluate;infer;inference;pattern;predict;reason;reasoning;score,open(,,False
high_confidence_log_reasoners,arc_solver,31,H:\arc_production_solver\backup_root_scripts\formalize_5_patterns.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\952a5e921f07__formalize_5_patterns.py,formalize_5_patterns.py,11991,2025-11-28T09:52:20,log;metric;metrics;perf,input,analyze;analyzer;infer;pattern,.jsonl;.write(;json.dump;open(,,True
high_confidence_log_reasoners,arc_solver,31,H:\arc_production_solver\cod_616\arc_organ\arc_task_runner.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\4d4fcb662f79__arc_task_runner.py,arc_task_runner.py,9987,2025-11-26T21:33:28,log,input;thermal,analyze;classif;evaluate;infer;inference;pattern;predict;reason;reasoning;score,open(,,False
high_confidence_log_reasoners,arc_solver,30,H:\arc_production_solver\cod_616\modules\fusion_616_engine.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\eefc62714a09__fusion_616_engine.py,fusion_616_engine.py,14548,2025-11-26T05:02:52,capture;history;perf;telemetry,gamepad;input;network;process,correlat;pattern;score,,,False
high_confidence_log_reasoners,arc_solver,29,H:\arc_production_solver\backup_root_scripts\translate_to_math.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\1ce8fc305bbc__translate_to_math.py,translate_to_math.py,22779,2025-11-28T09:23:06,log;metric,input;mss;system,pattern;reason;reasoning,.jsonl;.write(;json.dump;open(,,True
high_confidence_log_reasoners,arc_solver,27,H:\arc_production_solver\arc_organ\arc_resonance_state_v2.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\9c906318ce5d__arc_resonance_state_v2.py,arc_resonance_state_v2.py,20676,2025-11-26T21:37:22,log;logging;metric;perf,input,pattern;reason;reasoning;score,.log;logging.,,False
high_confidence_log_reasoners,arc_solver,27,H:\arc_production_solver\backup_root_scripts\extract_all_rules.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\403cedade11c__extract_all_rules.py,extract_all_rules.py,18224,2025-11-28T09:23:06,log;metric,input;movement;process,analyze;pattern,.jsonl;.write(;json.dump;open(,,True
high_confidence_log_reasoners,arc_solver,27,H:\arc_production_solver\backup_root_scripts\systematic_debug_algorithm.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\45e50034a883__systematic_debug_algorithm.py,systematic_debug_algorithm.py,9075,2025-11-28T08:50:30,metric,input;movement;process;system,analyze;pattern;predict;reason;reasoning,open(,,True
high_confidence_log_reasoners,arc_solver,27,H:\arc_production_solver\backup_root_scripts\validate_operator_prior.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\b48416c6c69a__validate_operator_prior.py,validate_operator_prior.py,11719,2025-11-28T08:58:02,capture;log;metric,input;memory,analyze;pattern;predict;score,json.dump;open(,,True
high_confidence_log_reasoners,arc_solver,27,H:\arc_production_solver\cod_616\arc_organ\arc_resonance_state_v2.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\e2ce06bac587__arc_resonance_state_v2.py,arc_resonance_state_v2.py,20676,2025-11-26T21:37:22,log;logging;metric;perf,input,pattern;reason;reasoning;score,.log;logging.,,False
high_confidence_log_reasoners,arc_solver,26,H:\arc_production_solver\cod_616\recognition\recognition_cli.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\746d2a47acad__recognition_cli.py,recognition_cli.py,12774,2025-11-26T05:27:06,log;metric;metrics;telemetry,gamepad;network,analyze;score,json.dump;open(,,False
high_confidence_log_reasoners,arc_solver,25,H:\arc_production_solver\tools\system_status_report.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\dc78dcc28b79__system_status_report.py,system_status_report.py,8787,2025-11-30T17:15:20,log;metric;metrics;perf;performance;session,system,pattern,.jsonl,,False
high_confidence_log_reasoners,arc_solver,24,H:\arc_production_solver\backup_root_scripts\next_session_kickoff.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\02f65a28ec0d__next_session_kickoff.py,next_session_kickoff.py,6924,2025-11-28T10:00:46,log;metric;session,system,detector;infer;inference;pattern,.jsonl;open(,,True
high_confidence_log_reasoners,arc_solver,23,H:\arc_production_solver\backup_root_scripts\convert_to_math_dsl.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\73d2266fe101__convert_to_math_dsl.py,convert_to_math_dsl.py,18560,2025-11-28T09:52:20,log;metric,input,pattern;reason;reasoning,.jsonl;.write(;json.dump;open(,,True
high_confidence_log_reasoners,arc_solver,23,H:\arc_production_solver\backup_root_scripts\run_full_composition_scan.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\38b57818e876__run_full_composition_scan.py,run_full_composition_scan.py,7729,2025-11-29T05:41:08,metric;metrics;perf;performance,input,infer;pattern,json.dump;open(,,True
high_confidence_log_reasoners,arc_solver,23,H:\arc_production_solver\backup_root_scripts\test_on_similar_tasks.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\bf733fb12894__test_on_similar_tasks.py,test_on_similar_tasks.py,9647,2025-11-28T09:23:06,perf,input;memory,analyze;insight;pattern;predict;score,json.dump;open(,,True
high_confidence_log_reasoners,arc_solver,23,H:\arc_production_solver\cod_616\modules\audio_resonance_state.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\5e786bcc94eb__audio_resonance_state.py,audio_resonance_state.py,19958,2025-11-26T13:48:34,activity;event;history;log,process,classif;correlat;score,.log,,False
high_confidence_log_reasoners,arc_solver,22,H:\arc_production_solver\arc_organ\arc_example_fuser.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\1506d0c7f1bc__arc_example_fuser.py,arc_example_fuser.py,13364,2025-11-26T21:41:12,log;metric;metrics,input,correlat;pattern;reason;reasoning;score,,,False
high_confidence_log_reasoners,arc_solver,22,H:\arc_production_solver\backup_root_scripts\manual_math_formalization.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\8ce4c79a93d9__manual_math_formalization.py,manual_math_formalization.py,4949,2025-11-28T09:52:20,,input;process,analyze;classif;insight;pattern,.jsonl;.write(;json.dump;open(,,True
high_confidence_log_reasoners,arc_solver,22,H:\arc_production_solver\cod_616\arc_organ\arc_example_fuser.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\94dae160b70b__arc_example_fuser.py,arc_example_fuser.py,13364,2025-11-26T21:41:12,log;metric;metrics,input,correlat;pattern;reason;reasoning;score,,,False
high_confidence_log_reasoners,arc_solver,22,H:\arc_production_solver\cod_616\test_phase_7.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\8cb21bf8e44b__test_phase_7.py,test_phase_7.py,8562,2025-11-26T05:27:06,capture;metric;metrics;telemetry,gamepad;network,analyze;score,,,False
high_confidence_log_reasoners,arc_solver,21,H:\arc_production_solver\arc_organ\arc_rule_hypothesis.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\2e827ac2f106__arc_rule_hypothesis.py,arc_rule_hypothesis.py,26115,2025-11-27T19:10:02,perf,input;system,analyze;detector;pattern;predict;reason;reasoning,,,False
