operator_id,name,category,agent_tier,definition,input_shape,output_shape,assumptions_in,assumptions_out,side_effects,dependencies,statefulness,sync_mode,destruction_score,risk_type,risk_reason,requires_confirmation,sandbox_required,promotion_ready,contract_status,category_confidence,source_file
temporal_causality_log_checker,temporal_causality_log_checker.py,audit,operator,[agent] read-only temporal causality and log integrity verifier,log_path:path|allowed_clock_skew_ms:int|focus_event_type:str,diagnostic_report:json,Input log is JSONL with canonical temporal event fields; checker has read access to target log only,Reports schema timestamp sequence cursor hash payload and causal violations plus breach/error lead-up chains,read|stdout,python|json|hashlib,STATELESS,SYNC,1,audit_read,read-only log verification with optional separate diagnostic output,NO,NO,REVIEW,COMPLETE,HIGH,AGENTS/temporal-causality/temporal_causality_log_checker.py
docs_folder_to_pdf,docs_folder_to_pdf.py,transformers,standalone,[agent] convert docs folder to combined generated PDF artifact,source_folder:path|out_dir:path,pdf_path:path|manifest_path:path|receipt_path:path,Source folder exists and contains Markdown TXT or image files,Creates generated PDF artifact plus metadata-only manifest and receipt,disk|logging,python|PIL,STATELESS,SYNC,3,filesystem,writes generated PDF artifact and receipts,YES,NO,REVIEW,COMPLETE,HIGH,AGENTS/docs-to-pdf/docs_folder_to_pdf.py
process_change,process_change.py,observers,agent,[agent] detect Linux process snapshot changes from TrueMachine Fusion Packs,fusion_pack:path|state_path:path,agent_decisions:json,Input is an authoritative TrueMachine Fusion Pack containing linux.processes state,Retains only the latest bounded process snapshot and emits deterministic decisions,state|agent_decision,python|truemachine,STATEFUL,SYNC,1,local_agent_state,writes bounded restart state and emits decisions,NO,NO,READY,COMPLETE,HIGH,../agents/process_change.py
truemachine_repository_map,repository_map.py,observers,agent,[agent] delegate exact repository map operations to TrueMachine,request_path:path,truecore.worker_result@1,Request JSON declares one build query or verify operation,Returns locations relationships artifacts unresolved states and receipts without answers,read|derived_artifact_write,python|truemachine,STATELESS,SYNC,1,derived_artifact,writes only the selected repository-map output directory,NO,NO,READY,COMPLETE,HIGH,../agents/repository_map.py
repo_external_entrypoints,locate_external_entrypoints,static_graph_locator,worker,[worker] locate conventional external entrypoint candidates,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_filesystem_writers,locate_filesystem_writers,static_graph_locator,worker,[worker] locate exact registered filesystem write call candidates,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_process_execution,locate_process_execution,static_graph_locator,worker,[worker] locate exact registered process execution call candidates,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_direct_truemem_references,locate_direct_truemem_references,static_graph_locator,worker,[worker] locate exact TrueMem call and import references,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_truecore_bypass,locate_truecore_bypass_candidates,authority_gap_locator,worker,[worker] report missing authority required to establish TrueCore bypasses,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_agent_registration,locate_agent_registration_surfaces,static_graph_locator,worker,[worker] locate exact registered agent and tool registration call candidates,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_security_config_writers,locate_security_config_writers,authority_gap_locator,worker,[worker] report missing authority required to establish security configuration writers,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
